Mese,Belgium,Germany,Greece,Spain,France,Croatia,Italy,Cyprus,Luxembourg,Malta,Netherlands,Austria,Portugal,Finland,Sweden,Norway
2010-01,1254922,15187910,1283245,15884609,17348290,281309,15171322,352207,82992,319720,3464800,11025038,1787360,1219007,2206786,1396160
2010-02,1705378,16926508,1235928,17840562,19778373,269332,15758869,389133,92641,368731,3904500,11991191,2167790,1324624,2552353,1731570
2010-03,1844073,19727756,1538631,22377294,22220443,507348,17959305,582178,116403,460999,4177600,10249264,2859875,1626232,2927772,1965408
2010-04,2560183,23879801,2709026,25835290,24404614,1250319,21312419,746782,159093,562625,6610000,5710200,3244181,1382523,2779016,1723123
2010-05,2900707,31471747,7408360,30449151,30923829,2711525,28168423,1437151,239722,686002,9559600,5911865,3698546,1215291,3889428,2162584
2010-06,2386640,32526896,11643022,36171967,35166922,4956687,42470549,1669693,228138,773130,8033000,7496556,4155940,1947564,4822442,3546954
2010-07,4541175,42048626,18349848,51831672,73312286,9897341,68673885,1979093,242075,1009208,12361200,12382808,5979331,3067462,10872772,5322266
2010-08,4249529,41682276,20777574,61116857,82793408,10677898,79987329,2240890,265283,1059223,13832100,13699892,8080802,2093439,6930617,3996466
2010-09,2557292,33940094,11815058,38691743,32819763,4539877,39408098,1801400,125334,813253,7514100,8404723,4862500,1503728,3284219,2202196
2010-10,2599060,30639909,4752147,30177965,20685634,1228155,21247484,1616386,121987,717899,6927500,5698150,3693954,1365773,2878446,1686205
2010-11,1953308,19269303,1213963,18601222,14609976,391544,11772298,633002,93888,449652,4560200,3575003,2130222,1251318,2582232,1587464
2010-12,1745759,18189888,1310871,17596723,17662801,297847,13644602,352873,65668,340392,3942700,7797699,1897334,1259597,2174215,1221190
2011-01,1295626,16315059,1383783,16763469,17847075,254669,15872650,330035,85945,341732,3610200,11414381,1836740,1315601,2330756,1447702
2011-02,1617700,17127671,1278191,18943351,19487791,273381,15079241,386532,89070,411598,3645100,11377101,2026421,1342578,2613563,1742996
2011-03,2093678,20496478,1774892,23410548,22719922,434807,18435387,610061,113154,537180,4473400,10414031,2849499,1674994,2955158,1950559
2011-04,2775335,26680271,3352714,29511328,24858614,1541421,23133848,920001,178697,634908,7527200,5668256,3801656,1397732,2860047,1739628
2011-05,2684522,30433396,8257886,30952446,28929734,2413308,26060318,1440871,219237,650436,7981500,5317935,3934524,1329564,3926731,2298352
2011-06,2885030,36421978,13434043,39993121,40200249,5762528,47091725,1767589,252315,788868,9798100,8595245,4693168,2030332,5233885,3628046
2011-07,4538309,42413606,17944823,55364820,74749429,10079459,70515037,2087030,374874,972116,11683400,12408582,6305192,3137690,10793190,5375952
2011-08,4140858,42720921,19811247,63934663,82872236,11325804,81540325,2301995,323939,1005170,13101700,14143929,8103220,2201318,6888030,4026207
2011-09,2650566,35026465,12865521,42069620,34951838,5049470,41328687,1890947,179958,819614,7758200,8669528,5041561,1570141,3334693,2239013
2011-10,2648758,31890338,5058344,31139761,21960624,1388297,22407252,1609732,171562,716628,7097100,5915966,3815645,1398378,2881859,1754096
2011-11,1973899,20330920,1177094,19394365,15259813,413668,11791572,600244,139986,442486,4623500,3688138,2061502,1286257,2576643,1644624
2011-12,1945881,19164363,1212638,17999529,18071693,313978,13638690,339694,108987,330259,4047100,7730799,1812605,1305930,2148515,1226293
2012-01,1386362,17259651,1097955,17377536,18264635,298788,15708685,328094,122499,342961,3655827,11686954,1766748,1402874,2413354,1555785
2012-02,1755803,18916243,1018325,19006446,20445663,277416,15406926,395610,130068,395268,3701137,12694298,2107574,1458832,2746735,1856462
2012-03,2145579,22226883,1435397,22804233,22939758,548791,18009007,528447,156938,482518,4519843,10003386,2804584,1739878,3100791,2000244
2012-04,2833613,27488029,2508078,27801602,24629501,1608586,23191731,829057,205173,629298,7497626,6396395,3525285,1395247,2898712,1721933
2012-05,2924419,33923648,6649683,30860605,31396572,3213768,27279007,1457992,254267,690546,9154943,6135581,3888605,1340572,4074424,2345986
2012-06,2545434,34643820,12050223,39565705,36788183,7525682,44496843,1957715,261635,799276,8538213,8276346,4694596,2130407,5113101,3702028
2012-07,4436023,42279467,17760110,54599312,71222005,18333628,69088155,2229316,401304,1010513,11194669,12669327,6422458,3025894,10405576,5276579
2012-08,4081007,44513846,19771963,62362414,83996716,20544864,79845672,2378197,356312,1021959,13069998,14446817,8292542,2216899,6672995,4015450
2012-09,2666508,36430512,11782306,41988326,35051221,7383464,40580654,1996656,211129,839089,7525671,9007088,5430564,1555183,3332666,2394685
